inconsistency reports: 38 | compile path: fx.symbolic_trace + torch.compile(fullgraph=True, backend=inductor, mode=None)
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-0: int | v6_0:torch.int32 n=23 maxabs=1 scale=13 | ops=['Greater', 'Constant', 'Add', 'LeakyReLU', 'Sin', 'Where', 'Clip', 'Slice', 'CastI32']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-10: discontinuous | v1_0:torch.float32 n=143 maxabs=0.107 scale=141.6 ulps=6339.0 | ops=['Constant', 'Linear', 'Sin', 'NCHWConv2d', 'Where', 'AvgPool2d', 'ReduceMax', 'ArgMin', 'Add']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-11: discontinuous | v5_0:torch.float16 n=61 maxabs=0 scale=1 ulps=0.0; v0_0:torch.float64 n=61 maxabs=1 scale=1 ulps=4503599627370496.0 | ops=['Sin', 'Ceil', 'Ceil', 'Max', 'Div', 'CastF64', 'Round', 'Flatten']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-12: int | v3_0:torch.int32 n=18 maxabs=1 scale=7 | ops=['GELU', 'GELU', 'CastI32', 'Transpose', 'ExpandLast4', 'Concat3', 'CastBool', 'ExpandLast4']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-13: lowprec | v0_0:torch.float16 n=3 maxabs=0.002747 scale=689 ulps=0.0 | ops=['Tan', 'Slice', 'Slice', 'CastBool', 'Squeeze', 'Neg', 'GELU', 'Sub']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-14: lowprec | v6_0:torch.float16 n=9 maxabs=0.001831 scale=693.5 ulps=0.0; v8_0:torch.int32 n=10 maxabs=1 scale=689 | ops=['Tan', 'Add', 'Slice', 'ReduceMean', 'BilinearInterp', 'GELU', 'CastI32', 'Sigmoid']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-15: lowprec | v9_0:torch.float16 n=1 maxabs=0.07031 scale=16.38 ulps=4.4 | ops=['Constant', 'Clip', 'ReduceMean', 'Add', 'Tan', 'TorchReduceSum', 'Min', 'Less', 'And']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-16: int | v1_0:torch.int64 n=19 maxabs=56 scale=56 | ops=['Tan', 'LinearInterp', 'ArgMin', 'Cos', 'Squeeze', 'TorchReduceSum', 'Max', 'Concat1']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-17: discontinuous | v0_0:torch.float16 n=1 maxabs=0.1587 scale=4 ulps=40.6 | ops=['Constant', 'Constant', 'ExpandLast1', 'CastBool', 'Concat5', 'Cos', 'Concat2', 'Floor', 'Sin', 'Max']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-18: discontinuous | v2_0:torch.float16 n=179 maxabs=1 scale=1 ulps=1024.0 | ops=['ReduceMean', 'Transpose', 'Sin', 'ConstPad', 'MaxPool2d', 'ReLU', 'Cos', 'Ceil']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-19: lowprec | v1_0:torch.float16 n=1 maxabs=0.05078 scale=2.943 ulps=17.7 | ops=['Concat1', 'Constant', 'PTMatMul', 'PTMatMul', 'Sigmoid', 'Cos', 'Add', 'Atan', 'Tan']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-2: lowprec | v0_0:torch.float16 n=6054 maxabs=0.007812 scale=1 ulps=8.0 | ops=['Constant', 'TorchReduceSum', 'Constant', 'Constant', 'Constant', 'Concat4', 'Squeeze', 'CastF64', 'Mul', 'Cos', 'LeakyReLU', 'ConstPad']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-20: discontinuous | v6_0:torch.float16 n=14 maxabs=1 scale=1 ulps=1024.0 | ops=['Cos', 'MaxPool2d', 'BicubicInterp', 'TorchReduceSum', 'Concat1', 'Sub', 'LinearInterp', 'Ceil']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-21: LARGE | v9_0:torch.float16 n=991 maxabs=222 scale=684.5 ulps=332.1; v5_0:torch.float16 n=30722 maxabs=1528 scale=4792 ulps=326.5; v4_0:torch.float16 n=991 maxabs=222 scale=684.5 ulps=332.1 | ops=['Constant', 'LeakyReLU', 'PTMatMul', 'ReduceMin', 'Atan', 'Tan', 'ExpandLast4', 'Mul', 'Transpose']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-22: lowprec | v4_0:torch.float16 n=5 maxabs=0.007141 scale=6.996 ulps=1.0 | ops=['PTMatMul', 'Cos', 'Reshape', 'Constant', 'Concat2', 'Softmax', 'CastF64', 'Mul', 'Concat3']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-23: lowprec | v0_0:torch.float16 n=570 maxabs=1 scale=49 ulps=20.9 | ops=['Ceil', 'Mul', 'Flatten', 'Div', 'ArgMax', 'Mul', 'Round', 'Clip']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-24: lowprec | v6_0:torch.float16 n=60 maxabs=0.007812 scale=1 ulps=8.0 | ops=['Constant', 'ReduceMean', 'Squeeze', 'Constant', 'Add', 'Sigmoid', 'Sub', 'Constant', 'Concat4', 'Cos', 'CastF32']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-25: int | v0_0:torch.int32 n=1 maxabs=1 scale=1 | ops=['Min', 'Cos', 'CastI32', 'Round', 'ReLU', 'Add', 'ReduceMin', 'Add']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-26: int | v0_0:torch.int64 n=7 maxabs=1 scale=1 | ops=['Triu', 'LeakyReLU', 'GELU', 'ArgMin', 'Tril', 'Min', 'Cos', 'CastI64']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-27: int | v8_0:torch.int64 n=5 maxabs=1 scale=400 | ops=['Constant', 'Tan', 'ReduceMean', 'CastBool', 'Constant', 'Constant', 'Concat5', 'Add', 'CastI32', 'CastI64', 'ReLU']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-28: lowprec | v6_0:torch.float16 n=5 maxabs=0.003914 scale=1.5 ulps=2.7 | ops=['Constant', 'Transpose', 'Constant', 'Add', 'Sin', 'Sigmoid', 'Concat2', 'Floor', 'Tan', 'Clip']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-29: discontinuous | v7_0:torch.float16 n=4946 maxabs=1 scale=1 ulps=1024.0 | ops=['ReduceMax', 'Floor', 'PTMatMul', 'Softmax', 'TorchReduceSum', 'Ceil', 'Add', 'LinearInterp']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-3: discontinuous | v3_0:torch.float32 n=1 maxabs=0.03521 scale=148.5 ulps=1989.5; v2_0:torch.float32 n=149 maxabs=1.918 scale=1 ulps=16092129.0 | ops=['Constant', 'Constant', 'Div', 'Div', 'Floor', 'Tan', 'TorchReduceSum', 'Ceil', 'ReduceMean', 'Cos']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-30: int | v3_0:torch.int64 n=101 maxabs=1 scale=11 | ops=['Constant', 'LeakyReLU', 'Add', 'TrilinearInterp', 'Transpose', 'CastI64', 'Slice', 'Slice', 'Clip']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-31: discontinuous | v2_0:torch.float16 n=28 maxabs=5.562 scale=22.44 ulps=253.9 | ops=['ExpandLast3', 'Mul', 'Tan', 'ConstPad', 'Softmax', 'Sigmoid', 'Greater', 'Squeeze']
